Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,05/10/2022,13:27,32°,Mây thưa,21°/32°,51%,10 km,1.83 km/giờ,20 °C,9.21,Tốt
Cao Bằng,05/10/2022,13:27,32°,Mây thưa,21°/32°,52%,10 km,1.8 km/giờ,21 °C,0,Tốt
Bắc Kạn,05/10/2022,13:27,33°,Mây rải rác,21°/33°,48%,10 km,1.47 km/giờ,20 °C,7.01,Khá
Tuyên Quang,05/10/2022,13:27,31°,Mây rải rác,22°/33°,57%,10 km,1.07 km/giờ,22 °C,8.92,Khá
Thái Nguyên,05/10/2022,13:27,32°,Mây rải rác,23°/32°,53%,10 km,1.74 km/giờ,21 °C,0,Kém
Lạng Sơn,05/10/2022,13:27,32°,Mây thưa,22°/32°,48%,10 km,1.09 km/giờ,20 °C,0,Khá
Quảng Ninh,05/10/2022,13:27,31°,Bầu trời quang đãng,23°/31°,56%,10 km,3.86 km/giờ,21 °C,9.05,Khá
Bắc Giang,05/10/2022,13:27,33°,Mây rải rác,23°/32°,54%,10 km,1.25 km/giờ,22 °C,0,Kém
Phú Thọ,05/10/2022,13:27,32°,Mây rải rác,23°/32°,56%,10 km,1.58 km/giờ,22 °C,8.33,Rất kém
Lào Cai,05/10/2022,13:27,32°,Mây rải rác,22°/32°,57%,10 km,1.48 km/giờ,22 °C,0,Khá
"Điện Biên",05/10/2022,13:27,34°,Mây thưa,20°/34°,40%,10 km,1 km/giờ,18 °C,0,Tốt
Lai Châu,05/10/2022,13:27,32°,Mây thưa,21°/32°,52%,10 km,0.68 km/giờ,21 °C,0,Khá
Sơn La,05/10/2022,13:27,29°,Mây rải rác,19°/29°,57%,10 km,1.35 km/giờ,20 °C,9.63,Khá
Yên Bái,05/10/2022,13:27,30°,Mây rải rác,23°/30°,62%,10 km,1.3 km/giờ,22 °C,0,Kém
Hoà Bình,05/10/2022,13:27,30°,Mây rải rác,23°/30°,74%,10 km,1.75 km/giờ,25 °C,0,Rất kém
Hà Nội,05/10/2022,13:27,32°,Mây cụm,24°/33°,55%,10 km,1.03 km/giờ,22 °C,0,Rất kém
Vĩnh Phúc,05/10/2022,13:27,33°,Mây rải rác,23°/32°,56%,10 km,1.6 km/giờ,22 °C,8.16,Rất kém
Bắc Ninh,05/10/2022,13:28,33°,Mây rải rác,24°/32°,54%,10 km,1.39 km/giờ,22 °C,0,Rất kém
Hải Dương,05/10/2022,13:28,32°,Mây rải rác,23°/32°,57%,10 km,1.48 km/giờ,22 °C,0,Rất kém
Hải Phòng,05/10/2022,13:28,31°,Mây thưa,24°/32°,66%,10 km,4.63 km/giờ,25 °C,9.12,Kém
Hưng Yên,05/10/2022,13:28,32°,Mây cụm,23°/32°,59%,10 km,2.56 km/giờ,23 °C,8.72,Rất kém
Thái Bình,05/10/2022,13:28,30°,Mây cụm,23°/30°,68%,10 km,3.98 km/giờ,24 °C,9.07,Rất kém
Hà Nam,05/10/2022,13:28,32°,Mây cụm,23°/32°,59%,10 km,2.51 km/giờ,23 °C,0,Rất kém
Nam Định,05/10/2022,13:28,31°,Mây cụm,23°/31°,65%,10 km,3.08 km/giờ,23 °C,9.07,Rất kém
Ninh Bình,05/10/2022,13:28,31°,Mây cụm,23°/31°,63%,10 km,3.42 km/giờ,23 °C,0,Rất kém
Thanh Hóa,05/10/2022,13:28,30°,Nhiều mây,23°/30°,72%,10 km,2.48 km/giờ,24 °C,0,Rất kém
Nghệ An,05/10/2022,13:28,29°,Mây cụm,24°/29°,73%,10 km,3.55 km/giờ,24 °C,0,Kém
Hà Tĩnh,05/10/2022,13:28,29°,Nhiều mây,24°/29°,72%,10 km,3.74 km/giờ,24 °C,0,Kém
Quảng Bình,05/10/2022,13:28,29°,Nhiều mây,24°/30°,76%,10 km,2.54 km/giờ,25 °C,0,Tốt
Quảng Trị,05/10/2022,13:28,29°,Nhiều mây,24°/29°,80%,10 km,3.05 km/giờ,25 °C,9.9,Tốt
Thừa Thiên Huế,05/10/2022,13:28,30°,Mây rải rác,23°/30°,74%,10 km,4.12 km/giờ,25 °C,0,Tốt
"Đà Nẵng",05/10/2022,13:28,31°,Mây rải rác,25°/32°,62%,10 km,5.66 km/giờ,24 °C,0,Tốt
Quảng Nam,05/10/2022,13:28,28°,Nhiều mây,23°/30°,84%,10 km,2.57 km/giờ,25 °C,0,Tốt
Quảng Ngãi,05/10/2022,13:29,29°,Nhiều mây,24°/30°,80%,10 km,3.47 km/giờ,25 °C,9.39,Tốt
Bình Định,05/10/2022,13:29,28°,Nhiều mây,25°/28°,82%,10 km,4.18 km/giờ,25 °C,9.85,Tốt
Phú Yên,05/10/2022,13:29,26°,Nhiều mây,22°/29°,89%,10 km,1.45 km/giờ,24 °C,0,Tốt
Khánh Hòa,05/10/2022,13:29,32°,Nhiều mây,23°/31°,73%,10 km,2.46 km/giờ,26 °C,10.13,Tốt
Ninh Thuận,05/10/2022,13:29,31°,Nhiều mây,24°/31°,61%,10 km,5.57 km/giờ,23 °C,0,Tốt
Bình Thuận,05/10/2022,13:29,31°,Nhiều mây,22°/31°,57%,10 km,4.44 km/giờ,22 °C,10.48,Tốt
Kon Tum,05/10/2022,13:29,30°,Mây cụm,20°/31°,58%,10 km,0.49 km/giờ,21 °C,9.62,Tốt
