Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,31/10/2022,21:10,18°,Bầu trời quang đãng,14°/29°,78%,10 km,2.11 km/giờ,14 °C,0,Khá
Cao Bằng,31/10/2022,21:10,19°,Nhiều mây,15°/29°,71%,10 km,2.18 km/giờ,14 °C,0,Khá
Bắc Kạn,31/10/2022,21:10,19°,Mây rải rác,15°/29°,80%,10 km,1.44 km/giờ,15 °C,0,Trung bình
Tuyên Quang,31/10/2022,21:10,20°,Bầu trời quang đãng,15°/30°,74%,10 km,1.43 km/giờ,15 °C,0,Khá
Thái Nguyên,31/10/2022,21:10,24°,Mây thưa,17°/30°,64%,10 km,2.38 km/giờ,17 °C,0,Kém
Lạng Sơn,31/10/2022,21:10,20°,Mây cụm,14°/26°,62%,10 km,3.52 km/giờ,13 °C,0,Kém
Quảng Ninh,31/10/2022,21:10,20°,Mây cụm,16°/28°,65%,10 km,1.99 km/giờ,13 °C,0,Trung bình
Bắc Giang,31/10/2022,21:10,24°,Mây thưa,17°/29°,54%,10 km,4.06 km/giờ,14 °C,0,Kém
Phú Thọ,31/10/2022,21:10,22°,Bầu trời quang đãng,17°/29°,64%,10 km,1.25 km/giờ,15 °C,0,Kém
Lào Cai,31/10/2022,21:10,21°,Bầu trời quang đãng,17°/31°,66%,10 km,1.32 km/giờ,14 °C,0,Kém
"Điện Biên",31/10/2022,21:10,20°,Bầu trời quang đãng,14°/30°,91%,10 km,1.4 km/giờ,18 °C,0,Trung bình
Lai Châu,31/10/2022,21:10,19°,Bầu trời quang đãng,15°/29°,79%,10 km,1.53 km/giờ,15 °C,0,Trung bình
Sơn La,31/10/2022,21:10,18°,Bầu trời quang đãng,12°/27°,92%,10 km,0.69 km/giờ,16 °C,0,Trung bình
Yên Bái,31/10/2022,21:10,23°,Mây thưa,18°/28°,74%,10 km,1.55 km/giờ,18 °C,0,Kém
Hoà Bình,31/10/2022,21:10,22°,Bầu trời quang đãng,18°/29°,73%,10 km,0.69 km/giờ,17 °C,0,Kém
Hà Nội,31/10/2022,21:10,24°,Bầu trời quang đãng,18°/30°,53%,10 km,2.57 km/giờ,14 °C,0,Kém
Vĩnh Phúc,31/10/2022,21:10,24°,Bầu trời quang đãng,18°/29°,60%,10 km,1.8 km/giờ,16 °C,0,Rất kém
Bắc Ninh,31/10/2022,21:10,24°,Mây thưa,18°/30°,54%,10 km,4.19 km/giờ,14 °C,0,Kém
Hải Dương,31/10/2022,21:10,25°,Mây rải rác,18°/29°,55%,10 km,4.35 km/giờ,15 °C,0,Kém
Hải Phòng,31/10/2022,21:10,25°,Bầu trời quang đãng,18°/29°,47%,10 km,4.12 km/giờ,13 °C,0,Kém
Hưng Yên,31/10/2022,21:10,25°,Mây thưa,18°/29°,50%,10 km,5.36 km/giờ,14 °C,0,Kém
Thái Bình,31/10/2022,21:10,24°,Mây rải rác,19°/29°,57%,10 km,5 km/giờ,15 °C,0,Kém
Hà Nam,31/10/2022,21:10,25°,Mây thưa,18°/29°,50%,10 km,5.21 km/giờ,14 °C,0,Kém
Nam Định,31/10/2022,21:10,24°,Mây thưa,19°/29°,56%,10 km,4.77 km/giờ,15 °C,0,Kém
Ninh Bình,31/10/2022,21:10,23°,Mây cụm,18°/29°,61%,10 km,3.1 km/giờ,15 °C,0,Kém
Thanh Hóa,31/10/2022,21:10,23°,Mây cụm,18°/29°,67%,10 km,2.57 km/giờ,17 °C,0,Rất kém
Nghệ An,31/10/2022,21:10,24°,Mây rải rác,19°/27°,71%,10 km,3.25 km/giờ,18 °C,0,Rất kém
Hà Tĩnh,31/10/2022,21:10,23°,Mây cụm,19°/27°,77%,10 km,1.81 km/giờ,18 °C,0,Rất kém
Quảng Bình,31/10/2022,21:10,21°,Nhiều mây,18°/27°,89%,10 km,1.11 km/giờ,19 °C,0,Rất kém
Quảng Trị,31/10/2022,21:10,22°,Nhiều mây,19°/26°,81%,10 km,2.14 km/giờ,19 °C,0,Rất kém
Thừa Thiên Huế,31/10/2022,21:10,25°,Mây cụm,19°/26°,69%,8 km,4.12 km/giờ,19 °C,0,Kém
"Đà Nẵng",31/10/2022,21:10,25°,Mây rải rác,21°/27°,65%,10 km,5.66 km/giờ,18 °C,0,Kém
Quảng Nam,31/10/2022,21:10,22°,Nhiều mây,19°/27°,84%,10 km,5.01 km/giờ,19 °C,0,Kém
Quảng Ngãi,31/10/2022,21:10,22°,Nhiều mây,19°/27°,84%,10 km,5.38 km/giờ,20 °C,0,Kém
Bình Định,31/10/2022,21:10,24°,Nhiều mây,21°/26°,87%,10 km,5.25 km/giờ,21 °C,0,Rất kém
Phú Yên,31/10/2022,21:10,21°,Nhiều mây,19°/28°,97%,10 km,0.87 km/giờ,21 °C,0,Rất kém
Khánh Hòa,31/10/2022,21:10,25°,Nhiều mây,21°/29°,92%,10 km,1.09 km/giờ,24 °C,0,Kém
Ninh Thuận,31/10/2022,21:10,24°,Nhiều mây,22°/28°,88%,10 km,0.95 km/giờ,22 °C,0,Kém
Bình Thuận,31/10/2022,21:10,23°,Nhiều mây,20°/29°,95%,10 km,0.33 km/giờ,22 °C,0,Kém
Kon Tum,31/10/2022,21:10,19°,Nhiều mây,16°/28°,87%,10 km,1.05 km/giờ,17 °C,0,Kém
Gia Lai,31/10/2022,21:10,20°,Nhiều mây,17°/26°,93%,10 km,1.21 km/giờ,18 °C,0,Trung bình
"Đắk Lắk",31/10/2022,21:10,20°,Nhiều mây,18°/28°,89%,10 km,0.65 km/giờ,18 °C,0,Khá
"Đắk Nông",31/10/2022,21:10,20°,Nhiều mây,18°/28°,89%,10 km,0.65 km/giờ,18 °C,0,Khá
Lâm Đồng,31/10/2022,21:10,20°,Nhiều mây,17°/28°,99%,2.32 km,0.4 km/giờ,19 °C,0,Khá
Bình Phước,31/10/2022,21:10,22°,Nhiều mây,21°/30°,88%,10 km,1.34 km/giờ,20 °C,0,Khá
Tây Ninh,31/10/2022,21:10,25°,Nhiều mây,23°/31°,79%,10 km,2.34 km/giờ,21 °C,0,Trung bình
Bình Dương,31/10/2022,21:10,29°,Mây thưa,23°/31°,74%,10 km,2.06 km/giờ,24 °C,0,Rất kém
"Đồng Nai",31/10/2022,21:10,29°,Nhiều mây,23°/31°,80%,10 km,1.25 km/giờ,25 °C,0,Rất kém
Bà Rịa - Vũng Tàu,31/10/2022,21:11,24°,Nhiều mây,22°/30°,92%,10 km,1.86 km/giờ,22 °C,0,Rất kém
Hồ Chí Minh,31/10/2022,21:11,29°,Mây thưa,23°/32°,74%,10 km,2.06 km/giờ,24 °C,0,Rất kém
Long An,31/10/2022,21:11,26°,Nhiều mây,23°/31°,76%,10 km,1 km/giờ,21 °C,0,Rất kém
Tiền Giang,31/10/2022,21:11,25°,Nhiều mây,23°/31°,79%,10 km,0.55 km/giờ,21 °C,0,Rất kém
Bến Tre,31/10/2022,21:11,25°,Nhiều mây,23°/31°,81%,10 km,0.62 km/giờ,21 °C,0,Rất kém
Trà Vinh,31/10/2022,21:11,25°,Nhiều mây,23°/30°,83%,10 km,1.18 km/giờ,22 °C,0,Rất kém
Vĩnh Long,31/10/2022,21:11,25°,Nhiều mây,23°/31°,76%,10 km,1.28 km/giờ,21 °C,0,Rất kém
"Đồng Tháp",31/10/2022,21:11,25°,Nhiều mây,24°/30°,70%,10 km,1.76 km/giờ,19 °C,0,Rất kém
An Giang,31/10/2022,21:11,25°,Nhiều mây,24°/30°,70%,10 km,1.91 km/giờ,19 °C,0,Rất kém
Kiên Giang,31/10/2022,21:11,27°,Nhiều mây,24°/30°,74%,10 km,1.22 km/giờ,22 °C,0,Kém
Cần Thơ,31/10/2022,21:11,25°,Mây thưa,24°/31°,94%,10 km,1.03 km/giờ,24 °C,0,Rất kém
Hậu Giang,31/10/2022,21:11,25°,Nhiều mây,24°/31°,74%,10 km,1.68 km/giờ,20 °C,0,Rất kém
Sóc Trăng,31/10/2022,21:11,26°,Nhiều mây,24°/31°,79%,10 km,0.91 km/giờ,22 °C,0,Rất kém
Bạc Liêu,31/10/2022,21:11,26°,Nhiều mây,24°/30°,80%,10 km,1.7 km/giờ,23 °C,0,Rất kém
Cà Mau,31/10/2022,21:11,25°,Nhiều mây,23°/32°,87%,10 km,0.71 km/giờ,23 °C,0,Rất kém
