Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,18/11/2022,23:08,22°,Mây rải rác,20°/27°,96%,10 km,0.81 km/giờ,21 °C,0,Kém
Cao Bằng,18/11/2022,23:08,23°,Nhiều mây,20°/28°,91%,10 km,0.95 km/giờ,22 °C,0,Kém
Bắc Kạn,18/11/2022,23:08,23°,Nhiều mây,20°/29°,96%,10 km,0.95 km/giờ,23 °C,0,Rất kém
Tuyên Quang,18/11/2022,23:08,24°,Mây cụm,21°/28°,90%,10 km,0.55 km/giờ,22 °C,0,Rất kém
Thái Nguyên,18/11/2022,23:08,26°,Nhiều mây,21°/30°,88%,10 km,2.03 km/giờ,24 °C,0,Kém
Lạng Sơn,18/11/2022,23:08,23°,Nhiều mây,18°/29°,84%,10 km,1.14 km/giờ,20 °C,0,Kém
Quảng Ninh,18/11/2022,23:08,22°,Bầu trời quang đãng,20°/29°,93%,10 km,0.75 km/giờ,21 °C,0,Kém
Bắc Giang,18/11/2022,23:08,26°,Nhiều mây,21°/31°,79%,10 km,2.83 km/giờ,22 °C,0,Kém
Phú Thọ,18/11/2022,23:08,24°,Mây rải rác,22°/30°,87%,10 km,2.21 km/giờ,22 °C,0,Rất kém
Lào Cai,18/11/2022,23:08,23°,Mây rải rác,22°/29°,97%,10 km,0.1 km/giờ,22 °C,0,Khá
"Điện Biên",18/11/2022,23:08,21°,Mây rải rác,19°/30°,93%,10 km,1.07 km/giờ,20 °C,0,Trung bình
Lai Châu,18/11/2022,23:08,21°,Mây cụm,20°/29°,94%,10 km,0.76 km/giờ,20 °C,0,Tốt
Sơn La,18/11/2022,23:08,20°,Mây thưa,18°/27°,95%,10 km,1.1 km/giờ,19 °C,0,Khá
Yên Bái,18/11/2022,23:08,25°,Mây cụm,22°/28°,85%,10 km,1.28 km/giờ,22 °C,0,Rất kém
Hoà Bình,18/11/2022,23:08,24°,Mây rải rác,22°/29°,93%,10 km,1.55 km/giờ,23 °C,0,Kém
Hà Nội,18/11/2022,23:08,26°,Mây cụm,22°/31°,89%,10 km,4.12 km/giờ,24 °C,0,Rất kém
Vĩnh Phúc,18/11/2022,23:08,26°,Mây cụm,22°/30°,86%,10 km,3.1 km/giờ,23 °C,0,Rất kém
Bắc Ninh,18/11/2022,23:08,26°,Nhiều mây,22°/31°,81%,10 km,3.57 km/giờ,23 °C,0,Kém
Hải Dương,18/11/2022,23:08,26°,Mây cụm,22°/31°,83%,10 km,3.47 km/giờ,23 °C,0,Kém
Hải Phòng,18/11/2022,23:08,26°,Bầu trời quang đãng,22°/31°,83%,10 km,3.09 km/giờ,23 °C,0,Kém
Hưng Yên,18/11/2022,23:09,25°,Mây cụm,22°/31°,85%,10 km,2.73 km/giờ,22 °C,0,Kém
Thái Bình,18/11/2022,23:09,25°,Mây thưa,23°/29°,84%,10 km,3.35 km/giờ,23 °C,0,Kém
Hà Nam,18/11/2022,23:09,25°,Mây cụm,23°/31°,86%,10 km,2.44 km/giờ,23 °C,0,Rất kém
Nam Định,18/11/2022,23:09,25°,Mây thưa,23°/30°,86%,10 km,2.87 km/giờ,23 °C,0,Rất kém
Ninh Bình,18/11/2022,23:09,25°,Mây rải rác,23°/29°,88%,10 km,2.08 km/giờ,23 °C,0,Rất kém
Thanh Hóa,18/11/2022,23:09,25°,Mây rải rác,23°/28°,91%,10 km,1.41 km/giờ,23 °C,0,Kém
Nghệ An,18/11/2022,23:09,25°,Mây cụm,23°/28°,90%,10 km,1.8 km/giờ,23 °C,0,Trung bình
Hà Tĩnh,18/11/2022,23:09,24°,Mây cụm,23°/28°,91%,10 km,1.28 km/giờ,22 °C,0,Kém
Quảng Bình,18/11/2022,23:09,24°,Mây rải rác,22°/29°,96%,10 km,0.89 km/giờ,23 °C,0,Tốt
Quảng Trị,18/11/2022,23:09,24°,Mây cụm,22°/29°,92%,10 km,1.82 km/giờ,22 °C,0,Khá
Thừa Thiên Huế,18/11/2022,23:09,26°,Mây rải rác,22°/29°,89%,10 km,1.54 km/giờ,24 °C,0,Khá
